,Provincia,Poblacion
0,BUENOS AIRES,23408
1,BUENOS AIRES,280
2,BUENOS AIRES,899
3,BUENOS AIRES,145
4,BUENOS AIRES,547
5,BUENOS AIRES,63
6,BUENOS AIRES,4524
7,BUENOS AIRES,1432
8,BUENOS AIRES,279
9,BUENOS AIRES,579
10,BUENOS AIRES,219
11,BUENOS AIRES,36494
12,BUENOS AIRES,1853
13,BUENOS AIRES,422
14,BUENOS AIRES,526
15,BUENOS AIRES,3201
16,BUENOS AIRES,12775
17,BUENOS AIRES,122
18,BUENOS AIRES,391
19,BUENOS AIRES,6859
20,BUENOS AIRES,114
21,BUENOS AIRES,107
22,BUENOS AIRES,689
23,BUENOS AIRES,38418
24,BUENOS AIRES,54
25,BUENOS AIRES,1206
26,BUENOS AIRES,18089
27,BUENOS AIRES,8073
28,BUENOS AIRES,663
29,BUENOS AIRES,215
30,BUENOS AIRES,292
31,BUENOS AIRES,68
32,BUENOS AIRES,194
33,BUENOS AIRES,11331
34,BUENOS AIRES,41
35,BUENOS AIRES,0
36,BUENOS AIRES,198
37,BUENOS AIRES,1147
38,BUENOS AIRES,0
39,BUENOS AIRES,1827
40,BUENOS AIRES,942
41,BUENOS AIRES,207620
42,BUENOS AIRES,0
43,BUENOS AIRES,0
44,BUENOS AIRES,420
45,BUENOS AIRES,0
46,BUENOS AIRES,0
47,BUENOS AIRES,0
48,BUENOS AIRES,0
49,BUENOS AIRES,0
50,BUENOS AIRES,0
51,BUENOS AIRES,2312
52,BUENOS AIRES,0
53,BUENOS AIRES,0
54,BUENOS AIRES,2721
55,BUENOS AIRES,84784
56,BUENOS AIRES,2131
57,BUENOS AIRES,430
58,BUENOS AIRES,65
59,BUENOS AIRES,3841
60,BUENOS AIRES,10
61,BUENOS AIRES,902
62,BUENOS AIRES,492
63,BUENOS AIRES,3841
64,BUENOS AIRES,89721
65,BUENOS AIRES,385
66,BUENOS AIRES,40
67,BUENOS AIRES,4812
68,BUENOS AIRES,3849
69,BUENOS AIRES,25616
70,BUENOS AIRES,1797
71,BUENOS AIRES,0
72,BUENOS AIRES,29593
73,BUENOS AIRES,80
74,BUENOS AIRES,109
75,BUENOS AIRES,61
76,BUENOS AIRES,3427
77,BUENOS AIRES,1993
78,BUENOS AIRES,5372
79,BUENOS AIRES,5245
80,CABA,44107
81,CORDOBA,6620
82,CORDOBA,3720
83,CORDOBA,947
84,CORDOBA,1257
85,CORDOBA,1320
86,JUJUY,67
87,CABA,53229
88,CORDOBA,16238
89,CORDOBA,1791
90,CORDOBA,2023
91,CORDOBA,16890
92,BUENOS AIRES,497
93,BUENOS AIRES,2670
94,BUENOS AIRES,531
95,BUENOS AIRES,748
96,BUENOS AIRES,76
97,BUENOS AIRES,347
98,BUENOS AIRES,57
99,BUENOS AIRES,745
100,BUENOS AIRES,566
101,BUENOS AIRES,9660
102,BUENOS AIRES,563
103,BUENOS AIRES,14
104,BUENOS AIRES,21
105,BUENOS AIRES,104
106,BUENOS AIRES,27
107,BUENOS AIRES,1748
108,BUENOS AIRES,0
109,BUENOS AIRES,26005
110,BUENOS AIRES,149676
111,BUENOS AIRES,61135
112,BUENOS AIRES,32994
113,BUENOS AIRES,0
114,BUENOS AIRES,7484
115,BUENOS AIRES,12693
116,BUENOS AIRES,27308
117,JUJUY,30
118,JUJUY,45
119,BUENOS AIRES,10152
120,BUENOS AIRES,0
121,BUENOS AIRES,4112
122,BUENOS AIRES,196
123,BUENOS AIRES,0
124,BUENOS AIRES,1633
125,BUENOS AIRES,560913
126,BUENOS AIRES,0
127,SAN LUIS,0
128,BUENOS AIRES,3451
129,BUENOS AIRES,0
130,BUENOS AIRES,167
131,BUENOS AIRES,611
132,BUENOS AIRES,89
133,BUENOS AIRES,20533
134,BUENOS AIRES,40
135,BUENOS AIRES,521
136,BUENOS AIRES,1998
137,BUENOS AIRES,4517
138,BUENOS AIRES,49
139,BUENOS AIRES,0
140,BUENOS AIRES,1389
141,BUENOS AIRES,31
142,BUENOS AIRES,9494
143,BUENOS AIRES,145
144,BUENOS AIRES,0
145,BUENOS AIRES,452
146,BUENOS AIRES,213
147,BUENOS AIRES,10219
148,BUENOS AIRES,98522
149,CORDOBA,48140
150,CORDOBA,2991
151,CORDOBA,1277
152,CORDOBA,0
153,CORDOBA,0
154,CORDOBA,841
155,CORDOBA,188
156,CORDOBA,243
157,CABA,39914
158,FORMOSA,12399
159,FORMOSA,603
160,FORMOSA,4517
161,FORMOSA,66
162,FORMOSA,3119
163,FORMOSA,1163
164,FORMOSA,3907
165,CABA,37575
166,CORDOBA,55
167,CORDOBA,201
168,CORDOBA,5758
169,CORDOBA,167
170,CORDOBA,85
171,CORDOBA,29
172,CORDOBA,170
173,CORDOBA,419
174,CORDOBA,80
175,CORDOBA,207
176,CABA,19717
177,CORDOBA,0
178,CORDOBA,0
179,CORDOBA,60
180,CORDOBA,895
181,CORDOBA,129
182,CORDOBA,430
183,CORDOBA,1069
184,CORDOBA,1013
185,BUENOS AIRES,3217
186,BUENOS AIRES,0
187,BUENOS AIRES,0
188,BUENOS AIRES,16
189,BUENOS AIRES,9066
190,BUENOS AIRES,1625
191,BUENOS AIRES,212
192,BUENOS AIRES,43
193,BUENOS AIRES,8260
194,BUENOS AIRES,146
195,BUENOS AIRES,412
196,BUENOS AIRES,192
197,BUENOS AIRES,112
198,BUENOS AIRES,24
199,BUENOS AIRES,815
200,BUENOS AIRES,265
201,BUENOS AIRES,657
202,BUENOS AIRES,4249
203,BUENOS AIRES,0
204,BUENOS AIRES,0
205,BUENOS AIRES,85315
206,BUENOS AIRES,421
207,BUENOS AIRES,19664
208,BUENOS AIRES,29180
209,BUENOS AIRES,63479
210,BUENOS AIRES,1265
211,BUENOS AIRES,3939
212,BUENOS AIRES,2176
213,BUENOS AIRES,195
214,BUENOS AIRES,1764
215,BUENOS AIRES,206
216,BUENOS AIRES,31533
217,BUENOS AIRES,282
218,BUENOS AIRES,92
219,BUENOS AIRES,83
220,BUENOS AIRES,63
221,BUENOS AIRES,5115
222,BUENOS AIRES,1499
223,BUENOS AIRES,365
224,BUENOS AIRES,774
225,BUENOS AIRES,211
226,BUENOS AIRES,976
227,CABA,6726
228,CATAMARCA,443
229,CATAMARCA,295
230,CATAMARCA,361
231,CATAMARCA,202
232,CATAMARCA,77
