,Año,Trimestre,Provincia,Mbps (Media de bajada)
0,2022,2,Buenos Aires,66
1,2022,2,Capital Federal,94
2,2022,2,Catamarca,57
3,2022,2,Chaco,51
4,2022,2,Chubut,15
5,2022,2,Córdoba,54
6,2022,2,Corrientes,43
7,2022,2,Entre Ríos,40
8,2022,2,Formosa,28
9,2022,2,Jujuy,29
10,2022,2,La Pampa,16
11,2022,2,La Rioja,43
12,2022,2,Mendoza,30
13,2022,2,Misiones,46
14,2022,2,Neuquén,47
15,2022,2,Río Negro,33
16,2022,2,Salta,39
17,2022,2,San Juan,14
18,2022,2,San Luis,19
19,2022,2,Santa Cruz,12
20,2022,2,Santa Fe,42
21,2022,2,Santiago Del Estero,16
22,2022,2,Tierra Del Fuego,11
23,2022,2,Tucumán,50
24,2022,1,Buenos Aires,63
25,2022,1,Capital Federal,88
26,2022,1,Catamarca,51
27,2022,1,Chaco,46
28,2022,1,Chubut,13
29,2022,1,Córdoba,50
30,2022,1,Corrientes,38
31,2022,1,Entre Ríos,36
32,2022,1,Formosa,30
33,2022,1,Jujuy,28
34,2022,1,La Pampa,15
35,2022,1,La Rioja,41
36,2022,1,Mendoza,26
37,2022,1,Misiones,42
38,2022,1,Neuquén,43
39,2022,1,Río Negro,31
40,2022,1,Salta,37
41,2022,1,San Juan,12
42,2022,1,San Luis,21
43,2022,1,Santa Cruz,11
44,2022,1,Santa Fe,39
45,2022,1,Santiago Del Estero,14
46,2022,1,Tierra Del Fuego,11
47,2022,1,Tucumán,47
48,2021,4,Buenos Aires,60
49,2021,4,Capital Federal,83
50,2021,4,Catamarca,46
51,2021,4,Chaco,42
52,2021,4,Chubut,9
53,2021,4,Córdoba,46
54,2021,4,Corrientes,36
55,2021,4,Entre Ríos,33
56,2021,4,Formosa,29
57,2021,4,Jujuy,27
58,2021,4,La Pampa,14
59,2021,4,La Rioja,40
60,2021,4,Mendoza,22
61,2021,4,Misiones,39
62,2021,4,Neuquén,40
63,2021,4,Río Negro,27
64,2021,4,Salta,34
65,2021,4,San Juan,11
66,2021,4,San Luis,21
67,2021,4,Santa Cruz,9
68,2021,4,Santa Fe,36
69,2021,4,Santiago Del Estero,14
70,2021,4,Tierra Del Fuego,11
71,2021,4,Tucumán,45
72,2021,3,Buenos Aires,56
73,2021,3,Capital Federal,78
74,2021,3,Catamarca,43
75,2021,3,Chaco,39
76,2021,3,Chubut,8
77,2021,3,Córdoba,42
78,2021,3,Corrientes,32
79,2021,3,Entre Ríos,30
80,2021,3,Formosa,27
81,2021,3,Jujuy,26
82,2021,3,La Pampa,13
83,2021,3,La Rioja,39
84,2021,3,Mendoza,13
85,2021,3,Misiones,31
86,2021,3,Neuquén,38
87,2021,3,Río Negro,25
88,2021,3,Salta,31
89,2021,3,San Juan,7
90,2021,3,San Luis,22
91,2021,3,Santa Cruz,8
92,2021,3,Santa Fe,33
93,2021,3,Santiago Del Estero,13
94,2021,3,Tierra Del Fuego,10
95,2021,3,Tucumán,42
96,2021,2,Buenos Aires,53
97,2021,2,Capital Federal,73
98,2021,2,Catamarca,42
99,2021,2,Chaco,37
100,2021,2,Chubut,8
101,2021,2,Córdoba,40
102,2021,2,Corrientes,30
103,2021,2,Entre Ríos,28
104,2021,2,Formosa,24
105,2021,2,Jujuy,26
106,2021,2,La Pampa,12
107,2021,2,La Rioja,39
108,2021,2,Mendoza,13
