Año,Accesos por cada 100 hogares,Trimestre
2014,"112,25",1
2014,"113,14",2
2014,"113,8",3
2014,"114,9",4
2014,"16,29",1
2014,"16,31",1
2014,"16,49",3
2014,"16,5",2
2014,"16,51",3
2014,"16,7",2
2014,"17,01",4
2014,"17,27",4
2014,"17,42",1
2014,"17,54",2
2014,"17,77",3
2014,"17,96",4
2014,"18,37",3
2014,"18,42",1
2014,"18,71",2
2014,"19,6",4
2014,"20,72",1
2014,"20,96",2
2014,"21,11",3
2014,"21,87",4
2014,"22,32",1
2014,"22,58",2
2014,"22,79",3
2014,"23,14",1
2014,"23,37",2
2014,"23,56",4
2014,"23,57",3
2014,"24,16",4
2014,"24,25",1
2014,"24,7",2
2014,"24,71",3
2014,"25,51",4
2014,"27,6",1
2014,"27,78",2
2014,"27,8",4
2014,"27,85",3
2014,"28,04",4
2014,"28,23",3
2014,"28,7",1
2014,"28,91",2
2014,"28,94",1
2014,"29,22",3
2014,"29,38",2
2014,"29,53",4
2014,"31,91",1
2014,"32,1",2
2014,"32,31",3
2014,"32,64",4
2014,"33,42",1
2014,"33,94",5
2014,"34,37",1
2014,"34,69",2
2014,"34,98",3
2014,"35,32",4
2014,"36,03",4
2014,"40,25",4
2014,"40,6",3
2014,"41,24",1
2014,"41,41",2
2014,"44,91",1
2014,"45,33",2
2014,"45,48",4
2014,"46,2",3
2014,"47,85",1
2014,"48,39",2
2014,"48,43",1
2014,"49,2",3
2014,"49,71",2
2014,"49,79",1
2014,50,4
2014,"50,84",2
2014,"51,27",4
2014,"52,52",1
2014,"52,55",4
2014,"53,45",2
2014,"54,23",3
2014,"54,57",1
2014,"54,7",4
2014,"55,06",2
2014,"55,78",3
2014,"56,09",4
2014,"56,4",3
2014,"56,75",3
2014,"63,97",1
2014,"64,36",2
2014,"65,69",3
2014,"66,14",4
2014,"9,35",1
2014,"9,71",3
2014,"9,72",2
2014,"9,79",4
2015,"114,9",1
2015,"116,07",2
2015,"118,13",4
2015,"118,29",3
2015,"16,7",1
2015,"16,88",2
2015,17,4
2015,"17,06",1
2015,"17,11",2
2015,"17,12",3
2015,"17,15",3
2015,"17,32",4
2015,"18,12",1
2015,"18,36",2
2015,"18,84",3
2015,"19,07",4
2015,"19,69",1
2015,"20,29",2
2015,"21,27",3
2015,"21,47",4
2015,"25,11",1
2015,"25,45",2
2015,"25,86",3
2015,"26,24",4
2015,"26,31",1
2015,"26,65",1
2015,"27,07",2
2015,"27,35",2
2015,"27,46",2
2015,"27,55",1
2015,"27,61",3
2015,"27,64",2
2015,"27,66",4
2015,"27,67",3
2015,"27,74",4
2015,"27,96",3
2015,"27,99",1
2015,"28,31",3
2015,"28,35",4
2015,"28,69",4
2015,"28,95",1
2015,"29,58",2
2015,"30,01",1
2015,"30,17",3
2015,"30,34",4
2015,"30,46",2
2015,"31,18",3
2015,"31,59",4
2015,"32,37",1
2015,"32,49",9
2015,"35,08",1
2015,"35,69",2
2015,"36,58",2
2015,"36,61",3
2015,"36,81",3
2015,"36,89",4
2015,"37,06",4
2015,"37,61",1
2015,"42,07",1
2015,"42,93",2
2015,"43,68",3
2015,"44,11",4
2015,"45,33",1
2015,"45,98",2
2015,"46,39",3
2015,"46,44",4
2015,"50,24",1
2015,"51,18",2
2015,"51,95",1
2015,"52,15",3
2015,"52,61",4
2015,"53,12",2
2015,"54,6",3
2015,"54,7",1
2015,"55,51",1
2015,"55,87",2
2015,"56,37",1
2015,"56,71",2
2015,"56,8",2
2015,"57,08",3
2015,"57,36",4
2015,"57,69",3
2015,"57,96",3
2015,"58,29",8
2015,"58,76",4
2015,"66,46",4
2015,"74,23",1
2015,"74,51",2
2015,"74,86",3
2015,"9,71",9
2015,"9,72",1
2016,"115,16",1
2016,"120,04",2
2016,"120,63",4
2016,"120,77",3
2016,"15,07",4
2016,"15,33",3
2016,"15,89",2
2016,"16,21",1
2016,"16,46",4
2016,"16,83",1
2016,"16,88",2
2016,"17,07",3
2016,"18,64",3
2016,"19,04",1
2016,"19,37",2
2016,"19,85",4
2016,"21,41",1
2016,"21,89",2
2016,"22,61",3
2016,"22,65",4
2016,"25,91",1
2016,"26,07",2
2016,"26,48",3
2016,"26,54",4
2016,"26,73",2
2016,"26,84",3
2016,"26,87",1
2016,"27,05",4
2016,"27,29",4
2016,"27,32",3
2016,"27,33",1
2016,"27,34",2
2016,"28,08",1
2016,"28,37",1
2016,"28,59",2
2016,"28,79",4
2016,"28,91",3
2016,"29,24",2
2016,"29,72",4
2016,"29,91",3
2016,"30,08",1
2016,"30,58",2
2016,"30,98",4
2016,"31,07",3
2016,"31,32",1
2016,"32,08",2
2016,"32,09",3
2016,"32,11",4
2016,"32,12",1
2016,"32,13",2
2016,"32,69",4
2016,"32,96",3
2016,"36,07",4
2016,"36,09",1
2016,"36,12",2
2016,"36,18",3
2016,"36,72",1
2016,"37,24",2
2016,"37,9",3
2016,"37,98",4
2016,"43,85",1
2016,"44,74",2
2016,"45,21",4
2016,"45,44",3
2016,"45,84",1
2016,"46,24",2
2016,"46,39",7
2016,"51,28",1
